"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"23.03.2023 00:00 - 23.03.2023 01:00","26896","25753"
"23.03.2023 01:00 - 23.03.2023 02:00","25373","24441"
"23.03.2023 02:00 - 23.03.2023 03:00","24803","23815"
"23.03.2023 03:00 - 23.03.2023 04:00","24388","23641"
"23.03.2023 04:00 - 23.03.2023 05:00","24684","24128"
"23.03.2023 05:00 - 23.03.2023 06:00","26358","25811"
"23.03.2023 06:00 - 23.03.2023 07:00","30608","29706"
"23.03.2023 07:00 - 23.03.2023 08:00","35440","34892"
"23.03.2023 08:00 - 23.03.2023 09:00","38357","38485"
"23.03.2023 09:00 - 23.03.2023 10:00","38314","38512"
"23.03.2023 10:00 - 23.03.2023 11:00","37276","37069"
"23.03.2023 11:00 - 23.03.2023 12:00","36252","36044"
"23.03.2023 12:00 - 23.03.2023 13:00","33952","34198"
"23.03.2023 13:00 - 23.03.2023 14:00","33646","34254"
"23.03.2023 14:00 - 23.03.2023 15:00","34900","35414"
"23.03.2023 15:00 - 23.03.2023 16:00","35166","36314"
"23.03.2023 16:00 - 23.03.2023 17:00","35995","36678"
"23.03.2023 17:00 - 23.03.2023 18:00","35067","35868"
"23.03.2023 18:00 - 23.03.2023 19:00","36683","37134"
"23.03.2023 19:00 - 23.03.2023 20:00","39732","39067"
"23.03.2023 20:00 - 23.03.2023 21:00","38373","37107"
"23.03.2023 21:00 - 23.03.2023 22:00","35342","34306"
"23.03.2023 22:00 - 23.03.2023 23:00","31680","30778"
"23.03.2023 23:00 - 24.03.2023 00:00","28854","27833"
"24.03.2023 00:00 - 24.03.2023 01:00","26159","25606"
"24.03.2023 01:00 - 24.03.2023 02:00","24695","24469"
"24.03.2023 02:00 - 24.03.2023 03:00","24023","23830"
"24.03.2023 03:00 - 24.03.2023 04:00","23850","23596"
"24.03.2023 04:00 - 24.03.2023 05:00","24264","23899"
"24.03.2023 05:00 - 24.03.2023 06:00","25756","25561"
"24.03.2023 06:00 - 24.03.2023 07:00","29731","29464"
"24.03.2023 07:00 - 24.03.2023 08:00","35094","34513"
"24.03.2023 08:00 - 24.03.2023 09:00","38693","38305"
"24.03.2023 09:00 - 24.03.2023 10:00","39026","38582"
"24.03.2023 10:00 - 24.03.2023 11:00","37537","37917"
"24.03.2023 11:00 - 24.03.2023 12:00","36393","36895"
"24.03.2023 12:00 - 24.03.2023 13:00","34730","34895"
"24.03.2023 13:00 - 24.03.2023 14:00","34607","34595"
"24.03.2023 14:00 - 24.03.2023 15:00","35170","35795"
"24.03.2023 15:00 - 24.03.2023 16:00","36056","36471"
"24.03.2023 16:00 - 24.03.2023 17:00","36249","36401"
"24.03.2023 17:00 - 24.03.2023 18:00","35808","35866"
"24.03.2023 18:00 - 24.03.2023 19:00","36471","36901"
"24.03.2023 19:00 - 24.03.2023 20:00","38144","38246"
"24.03.2023 20:00 - 24.03.2023 21:00","36667","36485"
"24.03.2023 21:00 - 24.03.2023 22:00","34200","33532"
"24.03.2023 22:00 - 24.03.2023 23:00","31004","30234"
"24.03.2023 23:00 - 25.03.2023 00:00","28073","27700"
"25.03.2023 00:00 - 25.03.2023 01:00","25085","25461"
"25.03.2023 01:00 - 25.03.2023 02:00","24027","23921"
"25.03.2023 02:00 - 25.03.2023 03:00","23304","22877"
"25.03.2023 03:00 - 25.03.2023 04:00","22827","22483"
"25.03.2023 04:00 - 25.03.2023 05:00","22860","22560"
"25.03.2023 05:00 - 25.03.2023 06:00","23567","23089"
"25.03.2023 06:00 - 25.03.2023 07:00","24967","24302"
"25.03.2023 07:00 - 25.03.2023 08:00","27625","26864"
"25.03.2023 08:00 - 25.03.2023 09:00","30075","28718"
"25.03.2023 09:00 - 25.03.2023 10:00","31343","29916"
"25.03.2023 10:00 - 25.03.2023 11:00","30933","29378"
"25.03.2023 11:00 - 25.03.2023 12:00","29811","28075"
"25.03.2023 12:00 - 25.03.2023 13:00","28334","27163"
"25.03.2023 13:00 - 25.03.2023 14:00","27049","26307"
"25.03.2023 14:00 - 25.03.2023 15:00","26662","26296"
"25.03.2023 15:00 - 25.03.2023 16:00","27108","26665"
"25.03.2023 16:00 - 25.03.2023 17:00","27774","27169"
"25.03.2023 17:00 - 25.03.2023 18:00","28406","27476"
"25.03.2023 18:00 - 25.03.2023 19:00","30743","29598"
"25.03.2023 19:00 - 25.03.2023 20:00","32907","31937"
"25.03.2023 20:00 - 25.03.2023 21:00","31489","30692"
"25.03.2023 21:00 - 25.03.2023 22:00","29080","28257"
"25.03.2023 22:00 - 25.03.2023 23:00","26867","26122"
"25.03.2023 23:00 - 26.03.2023 00:00","24474","24161"
"26.03.2023 00:00 - 26.03.2023 01:00","21800","22383"
"26.03.2023 01:00 - 26.03.2023 02:00","20612","21089"
"26.03.2023 02:00 - 26.03.2023 03:00","",""
"26.03.2023 03:00 - 26.03.2023 04:00","20092","20566"
"26.03.2023 04:00 - 26.03.2023 05:00","19694","20009"
"26.03.2023 05:00 - 26.03.2023 06:00","20161","20361"
"26.03.2023 06:00 - 26.03.2023 07:00","21213","21115"
"26.03.2023 07:00 - 26.03.2023 08:00","21554","21833"
"26.03.2023 08:00 - 26.03.2023 09:00","23353","23626"
"26.03.2023 09:00 - 26.03.2023 10:00","25005","25218"
"26.03.2023 10:00 - 26.03.2023 11:00","26124","25457"
"26.03.2023 11:00 - 26.03.2023 12:00","26040","25582"
"26.03.2023 12:00 - 26.03.2023 13:00","25906","25857"
"26.03.2023 13:00 - 26.03.2023 14:00","23932","24480"
"26.03.2023 14:00 - 26.03.2023 15:00","22927","24006"
"26.03.2023 15:00 - 26.03.2023 16:00","22780","23843"
"26.03.2023 16:00 - 26.03.2023 17:00","22774","24217"
"26.03.2023 17:00 - 26.03.2023 18:00","23393","24437"
"26.03.2023 18:00 - 26.03.2023 19:00","24578","25780"
"26.03.2023 19:00 - 26.03.2023 20:00","27346","28430"
"26.03.2023 20:00 - 26.03.2023 21:00","29840","29674"
"26.03.2023 21:00 - 26.03.2023 22:00","28262","28338"
"26.03.2023 22:00 - 26.03.2023 23:00","26248","26473"
"26.03.2023 23:00 - 27.03.2023 00:00","23860","23989"
"27.03.2023 00:00 - 27.03.2023 01:00","21808","22030"
"27.03.2023 01:00 - 27.03.2023 02:00","20796","20678"
"27.03.2023 02:00 - 27.03.2023 03:00","20189","20099"
"27.03.2023 03:00 - 27.03.2023 04:00","20023","19944"
"27.03.2023 04:00 - 27.03.2023 05:00","20554","20568"
"27.03.2023 05:00 - 27.03.2023 06:00","22767","22812"
"27.03.2023 06:00 - 27.03.2023 07:00","28788","28207"
"27.03.2023 07:00 - 27.03.2023 08:00","34157","33096"
"27.03.2023 08:00 - 27.03.2023 09:00","38478","37168"
"27.03.2023 09:00 - 27.03.2023 10:00","39489","37260"
"27.03.2023 10:00 - 27.03.2023 11:00","39000","36742"
"27.03.2023 11:00 - 27.03.2023 12:00","37408","36162"
"27.03.2023 12:00 - 27.03.2023 13:00","35649","33187"
"27.03.2023 13:00 - 27.03.2023 14:00","35142","32754"
"27.03.2023 14:00 - 27.03.2023 15:00","35594","33986"
"27.03.2023 15:00 - 27.03.2023 16:00","35879","34647"
"27.03.2023 16:00 - 27.03.2023 17:00","35540","34650"
"27.03.2023 17:00 - 27.03.2023 18:00","34935","34231"
"27.03.2023 18:00 - 27.03.2023 19:00","34255","33894"
"27.03.2023 19:00 - 27.03.2023 20:00","35726","35654"
"27.03.2023 20:00 - 27.03.2023 21:00","36903","36360"
"27.03.2023 21:00 - 27.03.2023 22:00","34253","34117"
"27.03.2023 22:00 - 27.03.2023 23:00","30780","30908"
"27.03.2023 23:00 - 28.03.2023 00:00","27888","27979"
"28.03.2023 00:00 - 28.03.2023 01:00","26331","25683"
"28.03.2023 01:00 - 28.03.2023 02:00","24600","24407"
"28.03.2023 02:00 - 28.03.2023 03:00","23878","23826"
"28.03.2023 03:00 - 28.03.2023 04:00","23707","23537"
"28.03.2023 04:00 - 28.03.2023 05:00","24032","23621"
"28.03.2023 05:00 - 28.03.2023 06:00","25768","25509"
"28.03.2023 06:00 - 28.03.2023 07:00","30439","30300"
"28.03.2023 07:00 - 28.03.2023 08:00","34905","35047"
"28.03.2023 08:00 - 28.03.2023 09:00","38841","38953"
"28.03.2023 09:00 - 28.03.2023 10:00","38399","39450"
"28.03.2023 10:00 - 28.03.2023 11:00","37377","37981"
"28.03.2023 11:00 - 28.03.2023 12:00","36773","36313"
"28.03.2023 12:00 - 28.03.2023 13:00","34886","33549"
"28.03.2023 13:00 - 28.03.2023 14:00","33884","33063"
"28.03.2023 14:00 - 28.03.2023 15:00","34180","33546"
"28.03.2023 15:00 - 28.03.2023 16:00","34617","34290"
"28.03.2023 16:00 - 28.03.2023 17:00","34733","34733"
"28.03.2023 17:00 - 28.03.2023 18:00","34058","34483"
"28.03.2023 18:00 - 28.03.2023 19:00","33328","34455"
"28.03.2023 19:00 - 28.03.2023 20:00","35231","36475"
"28.03.2023 20:00 - 28.03.2023 21:00","37942","37613"
"28.03.2023 21:00 - 28.03.2023 22:00","35443","35115"
"28.03.2023 22:00 - 28.03.2023 23:00","31937","31650"
"28.03.2023 23:00 - 29.03.2023 00:00","28839","28689"
"29.03.2023 00:00 - 29.03.2023 01:00","26401","26077"
"29.03.2023 01:00 - 29.03.2023 02:00","25144","24652"
"29.03.2023 02:00 - 29.03.2023 03:00","24507","23725"
"29.03.2023 03:00 - 29.03.2023 04:00","24036","23669"
"29.03.2023 04:00 - 29.03.2023 05:00","24060","23988"
"29.03.2023 05:00 - 29.03.2023 06:00","25755","25658"
"29.03.2023 06:00 - 29.03.2023 07:00","30188","30552"
"29.03.2023 07:00 - 29.03.2023 08:00","34854","35501"
"29.03.2023 08:00 - 29.03.2023 09:00","39229","39257"
"29.03.2023 09:00 - 29.03.2023 10:00","39524","40052"
"29.03.2023 10:00 - 29.03.2023 11:00","38053","38210"
"29.03.2023 11:00 - 29.03.2023 12:00","36495","36634"
"29.03.2023 12:00 - 29.03.2023 13:00","34641","34093"
"29.03.2023 13:00 - 29.03.2023 14:00","34158","33726"
"29.03.2023 14:00 - 29.03.2023 15:00","35180","34254"
"29.03.2023 15:00 - 29.03.2023 16:00","36079","34897"
"29.03.2023 16:00 - 29.03.2023 17:00","36303","35409"
"29.03.2023 17:00 - 29.03.2023 18:00","36102","34992"
"29.03.2023 18:00 - 29.03.2023 19:00","35445","34943"
"29.03.2023 19:00 - 29.03.2023 20:00","36732","37105"
"29.03.2023 20:00 - 29.03.2023 21:00","37882","38012"
"29.03.2023 21:00 - 29.03.2023 22:00","35538","35287"
"29.03.2023 22:00 - 29.03.2023 23:00","32168","31808"
"29.03.2023 23:00 - 30.03.2023 00:00","29199","28698"
"30.03.2023 00:00 - 30.03.2023 01:00","26243","26289"
"30.03.2023 01:00 - 30.03.2023 02:00","24862","24859"
"30.03.2023 02:00 - 30.03.2023 03:00","24038","24052"
"30.03.2023 03:00 - 30.03.2023 04:00","23952","23754"
"30.03.2023 04:00 - 30.03.2023 05:00","24240","23962"
"30.03.2023 05:00 - 30.03.2023 06:00","25760","25753"
"30.03.2023 06:00 - 30.03.2023 07:00","30523","30418"
"30.03.2023 07:00 - 30.03.2023 08:00","35726","35038"
"30.03.2023 08:00 - 30.03.2023 09:00","39653","39220"
"30.03.2023 09:00 - 30.03.2023 10:00","40525","40343"
"30.03.2023 10:00 - 30.03.2023 11:00","39948","39591"
"30.03.2023 11:00 - 30.03.2023 12:00","38498","38469"
"30.03.2023 12:00 - 30.03.2023 13:00","35797","36091"
"30.03.2023 13:00 - 30.03.2023 14:00","35373","35493"
"30.03.2023 14:00 - 30.03.2023 15:00","36226","36407"
"30.03.2023 15:00 - 30.03.2023 16:00","37004","36287"
"30.03.2023 16:00 - 30.03.2023 17:00","37173","36574"
"30.03.2023 17:00 - 30.03.2023 18:00","36562","35986"
"30.03.2023 18:00 - 30.03.2023 19:00","36176","35530"
"30.03.2023 19:00 - 30.03.2023 20:00","37559","37298"
"30.03.2023 20:00 - 30.03.2023 21:00","37836","37630"
"30.03.2023 21:00 - 30.03.2023 22:00","35234","35020"
"30.03.2023 22:00 - 30.03.2023 23:00","31713","31812"
"30.03.2023 23:00 - 31.03.2023 00:00","28802","28779"
"31.03.2023 00:00 - 31.03.2023 01:00","26537","26421"
"31.03.2023 01:00 - 31.03.2023 02:00","24987","25031"
"31.03.2023 02:00 - 31.03.2023 03:00","24139","24237"
"31.03.2023 03:00 - 31.03.2023 04:00","23931","23967"
"31.03.2023 04:00 - 31.03.2023 05:00","24086","24229"
"31.03.2023 05:00 - 31.03.2023 06:00","25754","25796"
"31.03.2023 06:00 - 31.03.2023 07:00","30704","30441"
"31.03.2023 07:00 - 31.03.2023 08:00","34748","34990"
"31.03.2023 08:00 - 31.03.2023 09:00","38675","38789"
"31.03.2023 09:00 - 31.03.2023 10:00","40262","39384"
"31.03.2023 10:00 - 31.03.2023 11:00","39746","39027"
"31.03.2023 11:00 - 31.03.2023 12:00","38520","38458"
"31.03.2023 12:00 - 31.03.2023 13:00","36161","36753"
"31.03.2023 13:00 - 31.03.2023 14:00","35153","35850"
"31.03.2023 14:00 - 31.03.2023 15:00","36102","35955"
"31.03.2023 15:00 - 31.03.2023 16:00","35840","36411"
"31.03.2023 16:00 - 31.03.2023 17:00","35977","36574"
"31.03.2023 17:00 - 31.03.2023 18:00","35791","36052"
"31.03.2023 18:00 - 31.03.2023 19:00","35326","35536"
"31.03.2023 19:00 - 31.03.2023 20:00","36620","36885"
"31.03.2023 20:00 - 31.03.2023 21:00","37919","36834"
"31.03.2023 21:00 - 31.03.2023 22:00","35101","34182"
"31.03.2023 22:00 - 31.03.2023 23:00","31890","31060"
"31.03.2023 23:00 - 01.04.2023 00:00","28978","28357"
"01.04.2023 00:00 - 01.04.2023 01:00","26087","25530"
"01.04.2023 01:00 - 01.04.2023 02:00","24588","23949"
"01.04.2023 02:00 - 01.04.2023 03:00","23652","23098"
"01.04.2023 03:00 - 01.04.2023 04:00","23205","22639"
"01.04.2023 04:00 - 01.04.2023 05:00","22991","22505"
"01.04.2023 05:00 - 01.04.2023 06:00","23473","23004"
"01.04.2023 06:00 - 01.04.2023 07:00","25275","24803"
"01.04.2023 07:00 - 01.04.2023 08:00","27198","26957"
"01.04.2023 08:00 - 01.04.2023 09:00","29299","29756"
"01.04.2023 09:00 - 01.04.2023 10:00","30316","30810"
"01.04.2023 10:00 - 01.04.2023 11:00","30311","29912"
"01.04.2023 11:00 - 01.04.2023 12:00","29383","28560"
"01.04.2023 12:00 - 01.04.2023 13:00","28304","27130"
"01.04.2023 13:00 - 01.04.2023 14:00","27315","26199"
"01.04.2023 14:00 - 01.04.2023 15:00","26678","25548"
"01.04.2023 15:00 - 01.04.2023 16:00","26893","25684"
"01.04.2023 16:00 - 01.04.2023 17:00","27541","26455"
"01.04.2023 17:00 - 01.04.2023 18:00","28073","26758"
"01.04.2023 18:00 - 01.04.2023 19:00","29345","27485"
"01.04.2023 19:00 - 01.04.2023 20:00","31684","29943"
"01.04.2023 20:00 - 01.04.2023 21:00","31948","31036"
"01.04.2023 21:00 - 01.04.2023 22:00","30038","28828"
"01.04.2023 22:00 - 01.04.2023 23:00","27434","26738"
"01.04.2023 23:00 - 02.04.2023 00:00","24835","24330"
"02.04.2023 00:00 - 02.04.2023 01:00","22863","22320"
"02.04.2023 01:00 - 02.04.2023 02:00","21443","20765"
"02.04.2023 02:00 - 02.04.2023 03:00","20563","20108"
"02.04.2023 03:00 - 02.04.2023 04:00","20364","19737"
"02.04.2023 04:00 - 02.04.2023 05:00","20333","19572"
"02.04.2023 05:00 - 02.04.2023 06:00","20673","20014"
"02.04.2023 06:00 - 02.04.2023 07:00","21270","20962"
"02.04.2023 07:00 - 02.04.2023 08:00","21639","21732"
"02.04.2023 08:00 - 02.04.2023 09:00","23563","23642"
"02.04.2023 09:00 - 02.04.2023 10:00","25280","25252"
"02.04.2023 10:00 - 02.04.2023 11:00","25683","25243"
"02.04.2023 11:00 - 02.04.2023 12:00","26084","24940"
"02.04.2023 12:00 - 02.04.2023 13:00","26117","24712"
"02.04.2023 13:00 - 02.04.2023 14:00","24481","22345"
"02.04.2023 14:00 - 02.04.2023 15:00","23514","21390"
"02.04.2023 15:00 - 02.04.2023 16:00","23763","21170"
"02.04.2023 16:00 - 02.04.2023 17:00","24307","22013"
"02.04.2023 17:00 - 02.04.2023 18:00","24590","23300"
"02.04.2023 18:00 - 02.04.2023 19:00","25208","24818"
"02.04.2023 19:00 - 02.04.2023 20:00","27265","27549"
"02.04.2023 20:00 - 02.04.2023 21:00","29099","29072"
"02.04.2023 21:00 - 02.04.2023 22:00","28005","27877"
"02.04.2023 22:00 - 02.04.2023 23:00","25840","25795"
"02.04.2023 23:00 - 03.04.2023 00:00","23538","23525"
"03.04.2023 00:00 - 03.04.2023 01:00","22208","21700"
"03.04.2023 01:00 - 03.04.2023 02:00","21015","20345"
"03.04.2023 02:00 - 03.04.2023 03:00","20370","19873"
"03.04.2023 03:00 - 03.04.2023 04:00","20075","19781"
"03.04.2023 04:00 - 03.04.2023 05:00","20568","20392"
"03.04.2023 05:00 - 03.04.2023 06:00","22828","22710"
"03.04.2023 06:00 - 03.04.2023 07:00","29072","28302"
"03.04.2023 07:00 - 03.04.2023 08:00","34230","33297"
"03.04.2023 08:00 - 03.04.2023 09:00","39198","37767"
"03.04.2023 09:00 - 03.04.2023 10:00","40185","38699"
"03.04.2023 10:00 - 03.04.2023 11:00","40102","37941"
"03.04.2023 11:00 - 03.04.2023 12:00","39850","37002"
"03.04.2023 12:00 - 03.04.2023 13:00","37453","35101"
"03.04.2023 13:00 - 03.04.2023 14:00","36715","35019"
"03.04.2023 14:00 - 03.04.2023 15:00","37016","35803"
"03.04.2023 15:00 - 03.04.2023 16:00","37318","36077"
"03.04.2023 16:00 - 03.04.2023 17:00","37286","36093"
"03.04.2023 17:00 - 03.04.2023 18:00","36213","35266"
"03.04.2023 18:00 - 03.04.2023 19:00","34836","35063"
"03.04.2023 19:00 - 03.04.2023 20:00","36563","36727"
"03.04.2023 20:00 - 03.04.2023 21:00","37631","37506"
"03.04.2023 21:00 - 03.04.2023 22:00","35287","34818"
"03.04.2023 22:00 - 03.04.2023 23:00","32032","31644"
"03.04.2023 23:00 - 04.04.2023 00:00","29014","28655"
"04.04.2023 00:00 - 04.04.2023 01:00","25203","25592"
"04.04.2023 01:00 - 04.04.2023 02:00","23671","24210"
"04.04.2023 02:00 - 04.04.2023 03:00","23118","23542"
"04.04.2023 03:00 - 04.04.2023 04:00","23110","23390"
"04.04.2023 04:00 - 04.04.2023 05:00","23645","23660"
"04.04.2023 05:00 - 04.04.2023 06:00","25613","25401"
"04.04.2023 06:00 - 04.04.2023 07:00","30489","29876"
"04.04.2023 07:00 - 04.04.2023 08:00","35263","34994"
"04.04.2023 08:00 - 04.04.2023 09:00","39618","39445"
"04.04.2023 09:00 - 04.04.2023 10:00","40829","40884"
"04.04.2023 10:00 - 04.04.2023 11:00","39578","39818"
"04.04.2023 11:00 - 04.04.2023 12:00","38196","38848"
"04.04.2023 12:00 - 04.04.2023 13:00","35450","36340"
"04.04.2023 13:00 - 04.04.2023 14:00","35249","35595"
"04.04.2023 14:00 - 04.04.2023 15:00","35783","36665"
"04.04.2023 15:00 - 04.04.2023 16:00","36462","36914"
"04.04.2023 16:00 - 04.04.2023 17:00","36608","36898"
"04.04.2023 17:00 - 04.04.2023 18:00","36303","35705"
"04.04.2023 18:00 - 04.04.2023 19:00","35415","35260"
"04.04.2023 19:00 - 04.04.2023 20:00","36244","37071"
"04.04.2023 20:00 - 04.04.2023 21:00","37778","38172"
"04.04.2023 21:00 - 04.04.2023 22:00","36011","35516"
"04.04.2023 22:00 - 04.04.2023 23:00","32842","31990"
"04.04.2023 23:00 - 05.04.2023 00:00","29610","28910"
"05.04.2023 00:00 - 05.04.2023 01:00","25713","26483"
"05.04.2023 01:00 - 05.04.2023 02:00","24387","24938"
"05.04.2023 02:00 - 05.04.2023 03:00","23857","24113"
"05.04.2023 03:00 - 05.04.2023 04:00","23744","23944"
"05.04.2023 04:00 - 05.04.2023 05:00","24229","24448"
"05.04.2023 05:00 - 05.04.2023 06:00","25811","26317"
"05.04.2023 06:00 - 05.04.2023 07:00","30002","31001"
"05.04.2023 07:00 - 05.04.2023 08:00","35014","36293"
"05.04.2023 08:00 - 05.04.2023 09:00","39641","40399"
"05.04.2023 09:00 - 05.04.2023 10:00","41263","41189"
"05.04.2023 10:00 - 05.04.2023 11:00","39803","39798"
"05.04.2023 11:00 - 05.04.2023 12:00","38602","39054"
"05.04.2023 12:00 - 05.04.2023 13:00","36544","37333"
"05.04.2023 13:00 - 05.04.2023 14:00","35785","37027"
"05.04.2023 14:00 - 05.04.2023 15:00","36716","36779"
"05.04.2023 15:00 - 05.04.2023 16:00","36854","37171"
"05.04.2023 16:00 - 05.04.2023 17:00","36875","36698"
"05.04.2023 17:00 - 05.04.2023 18:00","36110","36096"
"05.04.2023 18:00 - 05.04.2023 19:00","36539","36115"
"05.04.2023 19:00 - 05.04.2023 20:00","38100","38013"
"05.04.2023 20:00 - 05.04.2023 21:00","38265","38562"
"05.04.2023 21:00 - 05.04.2023 22:00","35749","35944"
"05.04.2023 22:00 - 05.04.2023 23:00","32419","32394"
"05.04.2023 23:00 - 06.04.2023 00:00","29239","29390"
"06.04.2023 00:00 - 06.04.2023 01:00","27008","26719"
"06.04.2023 01:00 - 06.04.2023 02:00","25277","25231"
"06.04.2023 02:00 - 06.04.2023 03:00","24397","24505"
"06.04.2023 03:00 - 06.04.2023 04:00","23967","24243"
"06.04.2023 04:00 - 06.04.2023 05:00","24412","24392"
"06.04.2023 05:00 - 06.04.2023 06:00","26167","26347"
"06.04.2023 06:00 - 06.04.2023 07:00","30491","30690"
"06.04.2023 07:00 - 06.04.2023 08:00","35187","35222"
"06.04.2023 08:00 - 06.04.2023 09:00","40044","40031"
"06.04.2023 09:00 - 06.04.2023 10:00","40972","40677"
"06.04.2023 10:00 - 06.04.2023 11:00","39740","39503"
"06.04.2023 11:00 - 06.04.2023 12:00","38972","38368"
"06.04.2023 12:00 - 06.04.2023 13:00","36384","35877"
"06.04.2023 13:00 - 06.04.2023 14:00","36035","35268"
"06.04.2023 14:00 - 06.04.2023 15:00","35825","35530"
"06.04.2023 15:00 - 06.04.2023 16:00","36395","35829"
"06.04.2023 16:00 - 06.04.2023 17:00","35877","35979"
"06.04.2023 17:00 - 06.04.2023 18:00","35985","35414"
"06.04.2023 18:00 - 06.04.2023 19:00","35750","35368"
"06.04.2023 19:00 - 06.04.2023 20:00","37249","36976"
"06.04.2023 20:00 - 06.04.2023 21:00","38248","37792"
"06.04.2023 21:00 - 06.04.2023 22:00","35998","35205"
"06.04.2023 22:00 - 06.04.2023 23:00","32781","32037"
"06.04.2023 23:00 - 07.04.2023 00:00","29651","29052"
"07.04.2023 00:00 - 07.04.2023 01:00","26700","26497"
"07.04.2023 01:00 - 07.04.2023 02:00","25114","24961"
"07.04.2023 02:00 - 07.04.2023 03:00","24365","24182"
"07.04.2023 03:00 - 07.04.2023 04:00","24165","23877"
"07.04.2023 04:00 - 07.04.2023 05:00","24016","24166"
"07.04.2023 05:00 - 07.04.2023 06:00","25452","25646"
"07.04.2023 06:00 - 07.04.2023 07:00","29191","29245"
"07.04.2023 07:00 - 07.04.2023 08:00","33129","33381"
"07.04.2023 08:00 - 07.04.2023 09:00","36379","37443"
"07.04.2023 09:00 - 07.04.2023 10:00","37081","38451"
"07.04.2023 10:00 - 07.04.2023 11:00","36616","37435"
"07.04.2023 11:00 - 07.04.2023 12:00","35863","36349"
"07.04.2023 12:00 - 07.04.2023 13:00","33975","33915"
"07.04.2023 13:00 - 07.04.2023 14:00","33423","32595"
"07.04.2023 14:00 - 07.04.2023 15:00","33581","33487"
"07.04.2023 15:00 - 07.04.2023 16:00","33676","32852"
"07.04.2023 16:00 - 07.04.2023 17:00","33665","33005"
"07.04.2023 17:00 - 07.04.2023 18:00","33454","33392"
"07.04.2023 18:00 - 07.04.2023 19:00","33661","33775"
"07.04.2023 19:00 - 07.04.2023 20:00","34756","34873"
"07.04.2023 20:00 - 07.04.2023 21:00","35004","35482"
"07.04.2023 21:00 - 07.04.2023 22:00","32846","33205"
"07.04.2023 22:00 - 07.04.2023 23:00","29900","30186"
"07.04.2023 23:00 - 08.04.2023 00:00","27361","27452"
"08.04.2023 00:00 - 08.04.2023 01:00","24962","24959"
"08.04.2023 01:00 - 08.04.2023 02:00","23348","23060"
"08.04.2023 02:00 - 08.04.2023 03:00","22518","21936"
"08.04.2023 03:00 - 08.04.2023 04:00","22024","21489"
"08.04.2023 04:00 - 08.04.2023 05:00","21975","21475"
"08.04.2023 05:00 - 08.04.2023 06:00","22338","21993"
"08.04.2023 06:00 - 08.04.2023 07:00","23323","23149"
"08.04.2023 07:00 - 08.04.2023 08:00","24785","24989"
"08.04.2023 08:00 - 08.04.2023 09:00","27082","27672"
"08.04.2023 09:00 - 08.04.2023 10:00","28490","28381"
"08.04.2023 10:00 - 08.04.2023 11:00","28187","27592"
"08.04.2023 11:00 - 08.04.2023 12:00","27182","27255"
"08.04.2023 12:00 - 08.04.2023 13:00","25934","27467"
"08.04.2023 13:00 - 08.04.2023 14:00","24791","25934"
"08.04.2023 14:00 - 08.04.2023 15:00","24584","24928"
"08.04.2023 15:00 - 08.04.2023 16:00","24658","25089"
"08.04.2023 16:00 - 08.04.2023 17:00","24819","26222"
"08.04.2023 17:00 - 08.04.2023 18:00","26111","26624"
"08.04.2023 18:00 - 08.04.2023 19:00","27747","27615"
"08.04.2023 19:00 - 08.04.2023 20:00","29453","29412"
"08.04.2023 20:00 - 08.04.2023 21:00","30247","30518"
"08.04.2023 21:00 - 08.04.2023 22:00","28865","28535"
"08.04.2023 22:00 - 08.04.2023 23:00","26328","26043"
"08.04.2023 23:00 - 09.04.2023 00:00","23905","23708"
"09.04.2023 00:00 - 09.04.2023 01:00","21753","21039"
"09.04.2023 01:00 - 09.04.2023 02:00","19890","19434"
"09.04.2023 02:00 - 09.04.2023 03:00","18953","18541"
"09.04.2023 03:00 - 09.04.2023 04:00","18315","17903"
"09.04.2023 04:00 - 09.04.2023 05:00","18019","17782"
"09.04.2023 05:00 - 09.04.2023 06:00","18417","18226"
"09.04.2023 06:00 - 09.04.2023 07:00","19050","18726"
"09.04.2023 07:00 - 09.04.2023 08:00","19468","19482"
"09.04.2023 08:00 - 09.04.2023 09:00","21284","22054"
"09.04.2023 09:00 - 09.04.2023 10:00","22306","23146"
"09.04.2023 10:00 - 09.04.2023 11:00","22823","23500"
"09.04.2023 11:00 - 09.04.2023 12:00","23797","24019"
"09.04.2023 12:00 - 09.04.2023 13:00","23594","23879"
"09.04.2023 13:00 - 09.04.2023 14:00","20976","21719"
"09.04.2023 14:00 - 09.04.2023 15:00","19710","20009"
"09.04.2023 15:00 - 09.04.2023 16:00","19673","20134"
"09.04.2023 16:00 - 09.04.2023 17:00","19896","19954"
"09.04.2023 17:00 - 09.04.2023 18:00","20416","20782"
"09.04.2023 18:00 - 09.04.2023 19:00","20972","21866"
"09.04.2023 19:00 - 09.04.2023 20:00","22808","23808"
"09.04.2023 20:00 - 09.04.2023 21:00","25793","25887"
"09.04.2023 21:00 - 09.04.2023 22:00","25901","25231"
"09.04.2023 22:00 - 09.04.2023 23:00","24300","23726"
"09.04.2023 23:00 - 10.04.2023 00:00","21888","21922"
"10.04.2023 00:00 - 10.04.2023 01:00","20676","19784"
"10.04.2023 01:00 - 10.04.2023 02:00","18820","18454"
"10.04.2023 02:00 - 10.04.2023 03:00","17877","17904"
